Feature Name,Honorees,City,County,State,Side,Symbol Type,Symbol Category,Sponsors,Year Dedicated,Year Removed,Tracking Status,,
Confederate Gun Shop Monument,No specific honoree,Dawson,Terrell,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy; Works Progress Administration,1936,,Live,,
Confederate Monument,No specific honoree,Monroe,Walton,GA,South,Monument,Courthouse Grounds,surviving Confederate veterans; Ladies Memorial Association,1907,,Live,,
Macon County Confederate Monument,No specific honoree,Montezuma,Macon,GA,South,Monument,Monument,United Daughters of the Confederacy,1911,,Live,,
Jasper County Confederate Monument,No specific honoree,Monticello,Jasper,GA,South,Monument,Monument,Uknown,1910,,Live,,
Colquitt County Confederate Monument,No specific honoree,Moultrie,Colquitt,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1909,,Live,,
Confederate Monument,No specific honoree,Mount Vernon,Montgomery,GA,South,Monument,Courthouse Grounds,Sons of Confederate Veterans,1997,,Live,,
Coweta County Georgia Monument,No specific honoree,Newnan,Coweta,GA,South,Monument,Courthouse Grounds,Ladies Memorial Association,1885,,Live,,
General Lee Drive,Robert E. Lee,Newnan,Coweta,GA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jeb Stuart Drive,James Ewell Brown Jeb Stuart,Newnan,Coweta,GA,South,Highway / Roadway,Roads,Uknown,,,Live,,
William Thomas Overby Confederate Hero Monument,William Thomas Overby,Newnan,Coweta,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1956,,Live,,
Jefferson Davis Highway Marker,Jefferson Davis,Norwood,Warren,GA,South,Monument,Monument,United Daughters of the Confederacy,,,Live,,
Robert E Lee Street,Robert E. Lee,Orangeburg,Orangeburg,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Stonewall Jackson Boulevard,Thomas Jonathan Stonewall Jackson,Orangeburg,Orangeburg,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Stonewall Jackson Street Southwest,Thomas Jonathan Stonewall Jackson,Orangeburg,Orangeburg,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Robert E. Lee Monument,Robert E. Lee,Pickens,Pickens,SC,South,Monument,Courthouse Grounds,Uknown,,,Live,,
Confederate Veterans Monument,No specific honoree,Prosperity,Newberry,SC,South,Monument,Monument,United Daughters of the Confederacy,1928,,Live,,
Confederate Park,No specific honoree,Rock Hill,York,SC,South,Park,Parks/Trails,Uknown,,,Live,,
Ebenezer Confederate Monument,No specific honoree,Rock Hill,York,SC,South,Monument,Monument,United Daughters of the Confederacy,1908,,Live,,
Jackson Street,Thomas Jonathan Stonewall Jackson,Rock Hill,York,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
North Confederate Avenue,No specific honoree,Rock Hill,York,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Cleburne Mural,Patrick Cleburne,Cleburne,Johnson,TX,South,Other,Parks/Trails,Howard Dudley,2009,,Live,,
Confederate Monument,No specific honoree,Cleburne,Johnson,TX,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1917,,Live,,
Johnson County,Middleton T. Johnson,Cleburne,Johnson,TX,South,County/Municipality,County/Municipality,Uknown,1867,,Live,,
Patrick Cleburne monument,Patrick Cleburne,Cleburne,Johnson,TX,South,Monument,Courthouse Grounds,Buffalo Creek Association,2015,,Live,,
Beauregard Drive,Pierre Gustave Toutant-Beauregard,Conroe,Montgomery,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jubal Early Lane,Jubal Anderson Early,Conroe,Montgomery,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Stonewall Jackson Drive,Thomas Jonathan Stonewall Jackson,Conroe,Montgomery,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Call to Arms Monument,No specific honoree,Corsicana,Navarro,TX,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1909,,Live,,
Foard County,Robert L. Foard,Crowell,Foard,TX,South,County/Municipality,County/Municipality,Uknown,1891,,Live,,
General Augustus C. Buchel Monument,Augustus C. Buchel,Cuero,DeWitt,TX,South,Monument,Courthouse Grounds,Dewitt County,1963,,Live,,
W.H. Gaston Middle School,W.H. Gaston,Dallas,Dallas,TX,South,School,Schools,Uknown,1954,,Live,,
General Jackson Avenue,Thomas Jonathan Stonewall Jackson,Culpeper,Culpeper,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
General Jeb Stuart Lane,James Ewell Brown Jeb Stuart,Culpeper,Culpeper,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
General Lee Avenue,Robert E. Lee,Culpeper,Culpeper,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
General Longstreet Avenue,James Longstreet,Culpeper,Culpeper,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
General Winder Road,John Henry Winder,Culpeper,Culpeper,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jackson Street,Thomas Jonathan Stonewall Jackson,Culpeper,Culpeper,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Stonewall Jackson Middle School,Thomas Jonathan Stonewall Jackson,Manassas,Manassas City,VA,South,School,Schools,Uknown,1962,,Live,,
Stonewall Jackson Volunteer Fire & Rescue Department,Thomas Jonathan Stonewall Jackson,Manassas,Manassas City,VA,South,Other,Buildings,Uknown,1969,,Live,,
Stonewall Road,Thomas Jonathan Stonewall Jackson,Manassas,Manassas City,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Marion,Smyth,VA,South,Monument,Courthouse Grounds,Uknown,1904,,Live,,
Jeb Stuart Court,James Ewell Brown Jeb Stuart,Martinsville,Henry,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jeb Stuart Road,James Ewell Brown Jeb Stuart,Martinsville,Henry,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jefferson Davis Drive,Jefferson Davis,Martinsville,Henry,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Our Confederate Soldier,No specific honoree,Mathews,Mathews,VA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1912,,Live,,
Stonewall Jackson Middle School,Thomas Jonathan Stonewall Jackson,Mechanicsville,Hanover,VA,South,School,Schools,Uknown,1969,,Live,,
Stonewall Middle Drive,Thomas Jonathan Stonewall Jackson,Mechanicsville,Hanover,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Robert E. Lee Elementary School,Robert E. Lee,Springdale,Washington,AR,South,School,Schools,Uknown,1951,,Live,,
Star City Confederate Memorial,No specific honoree,Star City,Lincoln,AR,South,Monument,Monument,United Daughters of the Confederacy,1926,,Live,,
Albert Pike Recreation Area,Albert Pike,Umpire,Howard,AR,South,Park,Parks/Trails,Uknown,,,Live,,
Van Buren Confederate Monument,No specific honoree,Van Buren,Crawford,AR,South,Monument,Courthouse Grounds,United Daughters of the Confederacy; Sons of the Confederacy,1899,,Live,,
Jeb Stuart Drive,James Ewell Brown Jeb Stuart,Wilson,Mississippi,AR,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jefferson Davis Highway Marker,Jefferson Davis,Gold Canyon,Pinal,AZ,Not Applicable,Monument,Monument,United Daughters of the Confederacy,1943,,Live,,
Confederate Troops Memorial,No specific honoree,Phoenix,Maricopa,AZ,Not Applicable,Monument,Monument,United Daughters of the Confederacy,1961,,Live,,
East Robert E. Lee Street,Robert E. Lee,Phoenix,Maricopa,AZ,Not Applicable,Highway / Roadway,Roads,Uknown,1961,,Live,,
North Stonewall Street,Thomas Jonathan Stonewall Jackson,Rock Hill,York,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Beauregard Street,Pierre Gustave Toutant-Beauregard,Tupelo,Lee,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Breckinridge Street,John C. Breckinridge,Tupelo,Lee,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Buckner Avenue,Simon Bolivar Buckner,Tupelo,Lee,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Avenue,No specific honoree,Tupelo,Lee,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Tupelo,Lee,MS,South,Monument,Courthouse Grounds,United Daughters of the Confederacy; Sons of the Confederacy,1906,,Live,,
Ewell Avenue,Richard Stoddert Ewell,Tupelo,Lee,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Hampton Avenue,Wade Hampton,Tupelo,Lee,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Hood Avenue,John Bell Hood,Tupelo,Lee,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jeb Stuart Street,James Ewell Brown Jeb Stuart,Tupelo,Lee,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Lee County,Robert E. Lee,Tupelo,Lee,MS,South,County/Municipality,County/Municipality,Uknown,1866,,Live,,
Confederate Soldiers Monument,No specific honoree,Austin,Travis,TX,South,Monument,Government Office Grounds,Surviving comrades,1903,,Live,,
Hood's Texas Brigade Monument,John Bell Hood,Austin,Travis,TX,South,Monument,Government Office Grounds,Reunion Association of Hood's Texas Brigade,1910,,Live,,
Jefferson Davis Highway Marker,Jefferson Davis,Austin,Travis,TX,South,Monument,Monument,United Daughters of the Confederacy,1931,,Live,,
John H. Reagan State Office Building,John Henninger Reagan,Austin,Travis,TX,South,Building,Buildings,Uknown,,,Live,,
Robert E. Lee Elementary School,Robert E. Lee,Eagle Pass,Maverick,TX,South,School,Schools,Uknown,,,Live,,
Lee Circle,Robert E. Lee,Edinburg,Hidalgo,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Robert E. Lee Elementary School,Robert E. Lee,Edinburg,Hidalgo,TX,South,School,Schools,Uknown,,,Live,,
Robert E Lee Road,Robert E. Lee,El Paso,El Paso,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Robert E. Lee Elementary School,Robert E. Lee,El Paso,El Paso,TX,South,School,Schools,Uknown,,,Live,,
Confederate Soldier,No specific honoree,Farmersville,Collin,TX,South,Monument,Monument,United Daughters of the Confederacy,1917,,Live,,
Confederate Soldiers Monument,No specific honoree,Edenton,Chowan,NC,South,Monument,Monument,United Daughters of the Confederacy,1909,,Live,,
Confederate Soldiers Monument,No specific honoree,Elizabeth City,Pasquotank‎, ‎Camden,NC,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1911,,Live,
Monument to the Confederate Grays 20th Regiment North Carolina State Troops,No specific honoree,Faison,Duplin‎, ‎Sampson,NC,South,Monument,Monument,Sons of Company E., Confederate States of America,1932,,Live
Bragg Boulevard,Braxton Bragg,Fayetteville,Cumberland,NC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Arsenal,No specific honoree,Fayetteville,Cumberland,NC,South,Monument,Monument,United Daughters of the Confederacy; North Carolina Historical Commission,1928,,Live,,
Confederate Soldiers Monument,No specific honoree,Fayetteville,Cumberland,NC,South,Monument,Monument,Women of Cumberland County; Ladies Monument Association,1902,,Live,,
Fort Bragg Road,Braxton Bragg,Fayetteville,Cumberland,NC,South,Highway / Roadway,Roads,Uknown,,,Live,,
General Lee Avenue,Robert E. Lee,Fayetteville,Cumberland,NC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Robert E. Lee Drive,Robert E. Lee,Flat Rock,Henderson,NC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jefferson Davis Monument,Jefferson Davis,Fletcher,Henderson,NC,South,Monument,Monument,United Daughters of the Confederacy,1931,,Live,,
City of Hubbard,Richard B. Hubbard,Hubbard,Hill,TX,South,City,County/Municipality,Uknown,1881,,Live,,
Robert E Lee Road,Robert E. Lee,Hunt,Hunt,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Walker County Civil War Monument,No specific honoree,Huntsville,Walker,TX,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1956,,Live,,
Jeff Davis Street,Jefferson Davis,Jacksonville,Cherokee,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Jefferson,Marion,TX,South,Monument,Courthouse Grounds,United Confederate Veterans,1907,,Live,,
Confederate Monument,No specific honoree,Kaufman,Kaufman,TX,South,Monument,Courthouse Grounds,United Confederate Veterans; the people of Kaufman County,1911,,Live,,
East Winkler Street,Clinton M. Winkler,Kermit,Winkler,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Winkler County,Clinton M. Winkler,Kermit,Winkler,TX,South,County/Municipality,County/Municipality,Uknown,1910,,Live,,
Confederate Park Road,No specific honoree,Lakeside,Tarrant,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Britton Lane Confederate Monument,No specific honoree,Denmark,Madison,TN,South,Monument,Monument,John Ingram Bivouac,1897,,Live,,
Weakley County Confederate Monument,No specific honoree,Dresden,Weakley,TN,South,Monument,Courthouse Grounds,Uknown,1915,,Live,,
Confederate Monument,No specific honoree,Dyersburg,Dyer,TN,South,Monument,Courthouse Grounds,United Confederate Veterans,1905,,Live,,
Stonewall Jackson Drive,Thomas Jonathan Stonewall Jackson,Elizabethton,Carter,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jeff Davis Drive,Jefferson Davis,Eva,Benton,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Nathan Bedford Bust,Nathan Bedford Forrest,Eva,Benton,TN,South,Monument,Parks/Trails,Uknown,,,Live,,
Nathan Bedford Forrest State Park,Nathan Bedford Forrest,Eva,Benton,TN,South,Park,Parks/Trails,Uknown,1929,,Live,,
General Forrest Court,Nathan Bedford Forrest,Forest Hills,Davidson,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Robert E. Lee Court,Robert E. Lee,Forest Hills,Davidson,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Robert E. Lee Drive,Robert E. Lee,Forest Hills,Davidson,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Alleghany County Confederate Monument,No specific honoree,Covington,Alleghany,VA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1911,,Live,,
Confederate Soldier Monument,No specific honoree,Culpeper,Culpeper,VA,South,Monument,Courthouse Grounds,Citizens of Culpeper County; A.P. Hill Camp No. 2 C.V.,1911,,Live,,
Farley Street,William Downs Farley,Culpeper,Culpeper,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
General AP Hill Avenue,A.P. Hill,Culpeper,Culpeper,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Memorial,No specific honoree,Picacho Pass,Pinal,AZ,Not Applicable,Monument,Monument,Sons of Confederate Veterans,,,Live,,
Powhatan Troop Confederate Monument,No specific honoree,Powhatan,Powhatan,VA,South,Monument,Courthouse Grounds,Sons of Confederate Veterans,1999,,Live,,
Confederate Monument,No specific honoree,Windsor,Isle of Wight,VA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1905,,Live,,
City of Wise,Henry A. Wise,Wise,Wise,VA,South,City,County/Municipality,Uknown,1924,,Live,,
Jeff Davis Drive,Jefferson Davis,Woodford,Caroline,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Stonewall Jackson Road,Thomas Jonathan Stonewall Jackson,Woodford,Caroline,VA,South,Highway / Roadway,Roads,Uknown,,,Live,,
Pickett Road,George Pickett,Bellingham,Whatcom,WA,Not Applicable,Highway / Roadway,Roads,Uknown,,,Live,,
Lee Elementary School,Robert E. Lee,East Wenatchee,Douglas,WA,Not Applicable,School,Schools,Uknown,1955,,Live,,
Beauregard Boulevard,Pierre Gustave Toutant-Beauregard,Charles Town,Jefferson,WV,Border,Highway / Roadway,Roads,Uknown,,,Live,,
Captain Chews Trace,Roger Preston Chew,Charles Town,Jefferson,WV,Border,Highway / Roadway,Roads,Uknown,,,Live,,
Lee Way,Robert E. Lee,Charles Town,Jefferson,WV,Border,Highway / Roadway,Roads,Uknown,,,Live,,
Sons of Confederate Veterans Commemorative License Plate,No specific honoree,Richmond,Richmond City,VA,South,Commemorative License Plate,Flags,Sons of Confederate Veterans,,,Live,,
Stonewall Jackson Monument I,Thomas Jonathan Stonewall Jackson,Richmond,Richmond City,VA,South,Monument,Government Office Grounds,Uknown,1875,,Live,,
Stonewall Jackson Monument II,Thomas Jonathan Stonewall Jackson,Richmond,Richmond City,VA,South,Monument,Monument,Uknown,1919,,Live,,
Lee Highway Marker,Robert E. Lee,Roanoke,Roanoke City,VA,South,Monument,Monument,United Daughters of the Confederacy,1928,,Live,,
Lee Plaza,Robert E. Lee,Roanoke,Roanoke City,VA,South,Park,Parks/Trails,Uknown,,,Live,,
Robert E. Lee Monument,Robert E. Lee,Roanoke,Roanoke City,VA,South,Monument,Monument,United Daughters of the Confederacy,1960,,Live,,
Confederate Monument,No specific honoree,Rocky Mount,Franklin,VA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy; R.H. Fishburne,1910,,Live,,
Confederate Monument,No specific honoree,Glasgow,Barren,KY,Border,Monument,Monument,Women's Monumental Association; former Confederate soldier John A. Murray,1905,,Live,,
City of Fort Davis,Jefferson Davis,Fort Davis,Jeff Davis,TX,South,City,County/Municipality,Uknown,,,Live,,
Davis Mountains,Jefferson Davis,Fort Davis,Jeff Davis,TX,South,Other,Parks/Trails,Uknown,1854,,Live,,
Davis Mountains State Park,Jefferson Davis,Fort Davis,Jeff Davis,TX,South,Park,Parks/Trails,Uknown,1933,,Live,,
Fort Davis Junior-Senior High School,Jefferson Davis,Fort Davis,Jeff Davis,TX,South,School,Schools,Uknown,,,Live,,
Jeff Davis County,Jefferson Davis,Fort Davis,Jeff Davis,TX,South,County/Municipality,County/Municipality,Uknown,1887,,Live,,
Fort Hood,John Bell Hood,Fort Hood,Bell,TX,South,Military Base,Buildings,Uknown,1942,,Live,,
Stonewall Elementary,Thomas Jonathan Stonewall Jackson,Fredericksburg,Gillespie,TX,South,School,Schools,Uknown,,,Live,,
Stonewall Jackson Drive,Thomas Jonathan Stonewall Jackson,Newport,Cocke,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Stonewall Jackson Court,Thomas Jonathan Stonewall Jackson,Oak Hill,Davidson,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Paris,Henry,TN,South,Monument,Courthouse Grounds,Uknown,1900,,Live,,
Freeman's Battery,No specific honoree,Parkers Crossroads,Henderson,TN,South,Monument,Monument,Sons of Confederate Veterans,2002,,Live,,
Morton's Battery,John Watson Morton, Jr.,Parkers Crossroads,Henderson,TN,South,Monument,Monument,Sons of Confederate Veterans,2007,,Live,
Rebel Martyr Sam Davis Statue,Sam Davis,Pulaski,Giles,TN,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1906,,Live,,
Sam Davis Avenue,Sam Davis,Pulaski,Giles,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Sam Davis Hanging Site,Sam Davis,Pulaski,Giles,TN,South,Other,Parks/Trails,Uknown,,,Live,,
Bedford Forrest Lane,Nathan Bedford Forrest,Ridgley,Lake,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jefferson Davis Highway,Jefferson Davis,Ripley,Lauderdale,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Reunion Grounds State Historic Site,No specific honoree,Mexia,Limestone,TX,South,Park,Parks/Trails,United Confederate Veterans,1983,,Live,,
Roberts County,Oran Milo Roberts,Miami,Roberts,TX,South,County/Municipality,County/Municipality,State of Texas,1889,,Live,,
Lee Freshman High School,Robert E. Lee,Midland,Midland,TX,South,School,Schools,Uknown,1961,,Live,,
Robert E. Lee High School,Robert E. Lee,Midland,Midland,TX,South,School,Schools,Uknown,1961,,Live,,
Beauregard Court,Pierre Gustave Toutant-Beauregard,Missouri City,Fort Bend,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Bedford Forrest Drive,Nathan Bedford Forrest,Missouri City,Fort Bend,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Breckinridge Court,John C. Breckinridge,Missouri City,Fort Bend,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Drive,No specific honoree,Missouri City,Fort Bend,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Pickett Place,George Pickett,Missouri City,Fort Bend,TX,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Soldier Statue,No specific honoree,Mount Pleasant,Titus,TX,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1911,,Live,,
North Jeff Davis Avenue,Jefferson Davis,Perry,Taylor,FL,South,Highway / Roadway,Roads,Uknown,,,Live,,
Frenchman's Spring,No specific honoree,Dexter,Stoddard,MO,Border,Monument,Monument,Sons of Confederate Veterans,1996,,Live,,
Jefferson Davis Drive,Jefferson Davis,Hillsboro,Jefferson,MO,Border,Highway / Roadway,Roads,Uknown,,,Live,,
Captain Delaney S. Washburn Memorial,Delaney S. Washburn,Huntsville,Randolph,MO,Border,Monument,Courthouse Grounds,Huntsville Historical Society,1976,,Live,,
Price's Great Raid Monument,Sterling Price,Jefferson City,Cole,MO,Border,Monument,Monument,United Daughters of the Confederacy,1933,,Live,,
General Sterling Price Monument,Sterling Price,Keytesville,Chariton,MO,Border,Monument,Monument,United Daughters of the Confederacy; State of Missouri,1915,,Live,,
Sterling Price Gazebo and Park,Sterling Price,Keytesville,Chariton,MO,Border,Park,Parks/Trails,United Daughters of the Confederacy; State of Missouri,1915,,Live,,
Confederate Capital of Missouri,No specific honoree,Neosho,Newton,MO,Border,Monument,Courthouse Grounds,Uknown,,,Live,,
Missouri State Guard Militia Monument,No specific honoree,Nevada,Vernon,MO,Border,Monument,Monument,Sons of Confederate Veterans,2001,,Live,,
Palmyra Massacre Monument,No specific honoree,Palmyra,Marion,MO,Border,Monument,Courthouse Grounds,Palmyra Confederate Monument Association and friends,1907,,Live,,
Confederate Soldier Monument I,No specific honoree,Oxford,Lafayette,MS,South,Monument,Courthouse Grounds,United Confederate Veterans,1907,,Live,,
Lee County Career & Technology Center,Robert E. Lee,Bishopville,Lee,SC,South,School,Schools,Uknown,,,Live,,
Lee Highway,Robert E. Lee,Knoxville,Knox,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
The Fort Sanders Confederate Monument,No specific honoree,Knoxville,Knox,TN,South,Monument,Monument,United Daughters of the Confederacy,1914,,Live,,
Macon County Confederate Monument,No specific honoree,Lafayette,Macon,TN,South,Monument,Courthouse Grounds,Sons of Confederate Veterans,2001,,Live,,
Confederate Memorial General Hatton Statue,No specific honoree,Lebanon,Wilson,TN,South,Monument,Monument,United Confederate Veterans,1912,,Live,,
Confederate Soldier Monument,No specific honoree,Lewisburg,Marshall,TN,South,Monument,Courthouse Grounds,Citizens of Lewisburg,1907,,Live,,
Robert E. Lee Drive,Robert E. Lee,Manchester,Coffee,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Soldier Monument II,No specific honoree,Oxford,Lafayette,MS,South,Monument,Monument,United Daughters of the Confederacy,1906,,Live,,
Jefferson Davis Drive,Jefferson Davis,Oxford,Lafayette,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Hardee Road,William Joseph Hardee,Pascagoula,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Imboden Road,John Daniel Imboden,Pascagoula,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jeb Stuart Road,James Ewell Brown Jeb Stuart,Pascagoula,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Mosby Road,John Singleton Mosby,Pascagoula,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Robertson Road,Jerome Bonaparte Robertson,Pascagoula,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Trapier Drive,James H. Trapier,Charleston,Charleston,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Wheeler Road,Joseph Wheeler,Pascagoula,Jackson,MS,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Monument,No specific honoree,Philadelphia,Neshoba,MS,South,Monument,Courthouse Grounds,Uknown,1912,,Live,,
Bedford Lane,Nathan Bedford Forrest,Aiken,Aiken,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Confederate Memorial,No specific honoree,Aiken,Aiken,SC,South,Monument,Monument,Ladies Monument Association of Aiken,1901,,Live,,
Shelby Drive,Joseph Shelby,Aiken,Aiken,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Beauregard Avenue,Pierre Gustave Toutant-Beauregard,Anderson,Anderson,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Bedford Forrest Avenue,Nathan Bedford Forrest,Anderson,Anderson,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Gregg County,John Gregg,Longview,Gregg,TX,South,County/Municipality,County/Municipality,Uknown,1873,,Live,,
Confederate Memorial Park at Winstead Hill Park,No specific honoree,Franklin,Williamson,TN,South,Park,Parks/Trails,Uknown,,,Live,,
General JB Hood Drive,John Bell Hood,Franklin,Williamson,TN,South,Highway / Roadway,Roads,Uknown,,,Live,,
Bonham Court,Milledge Luke Bonham,Anderson,Anderson,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Jeb Stuart Avenue,James Ewell Brown Jeb Stuart,Anderson,Anderson,SC,South,Highway / Roadway,Roads,Uknown,,,Live,,
Our Confederate Dead,No specific honoree,Anderson,Anderson,SC,South,Monument,Courthouse Grounds,Citizens of Anderson County,1901,,Live,,
Bamberg County Confederate Monument,No specific honoree,Bamberg,Bamberg,SC,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1911,,Live,,
Confederate Monument,No specific honoree,Barnwell,Barnwell,SC,South,Monument,Monument,Barnwell Ladies Memorial Association,,,Live,,
